2025-10-23T05:49:38.000000000Z [inf]  Starting Container
2025-10-23T05:49:40.043328296Z [err]  [2025-10-23 05:49:39 +0000] [1] [INFO] Starting gunicorn 21.2.0
2025-10-23T05:49:40.043335505Z [err]  [2025-10-23 05:49:39 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-10-23T05:49:40.043340421Z [err]  [2025-10-23 05:49:39 +0000] [1] [INFO] Using worker: sync
2025-10-23T05:49:40.043346046Z [err]  [2025-10-23 05:49:39 +0000] [2] [INFO] Booting worker with pid: 2
2025-10-23T05:49:40.043351747Z [err]  [2025-10-23 05:49:39 +0000] [3] [INFO] Booting worker with pid: 3
2025-10-23T05:49:40.043360763Z [inf]  ✅ Nano-Banana provider enabled (PRIMARY - Gemini 2.5 Flash)
2025-10-23T05:49:40.043367320Z [inf]  ✅ PiAPI provider enabled (FALLBACK #1 - 99.9% uptime SLA)
2025-10-23T05:49:40.043372813Z [inf]  ✅ Replicate provider enabled (FALLBACK #2 - legacy models)
2025-10-23T05:49:40.043378665Z [inf]  🔌 Face Swap Gateway initialized with 3 provider(s)
2025-10-23T05:49:40.043385872Z [inf]  📊 Provider priority: Nano-Banana → PiAPI → Replicate
2025-10-23T05:49:40.043408290Z [inf]  🔌 HD Image Gateway initialized with 1 provider(s)
2025-10-23T05:49:40.043414110Z [inf]  📊 Using Replicate Real-ESRGAN (direct, no Huggingface bottleneck)
2025-10-23T05:49:40.043420380Z [inf]  🔌 Cartoon Gateway initialized with 2 provider(s)
2025-10-23T05:49:40.043425947Z [inf]  🔌 Memoji Gateway initialized with 2 provider(s)
2025-10-23T05:49:40.043435476Z [inf]  🔌 Animal-Toon Gateway initialized with 3 provider(s)
2025-10-23T05:49:40.043440103Z [inf]    1. Replicate PhotoMaker (timeout=30s)
2025-10-23T05:49:40.043446444Z [inf]    2. Replicate InstantID (timeout=90s)
2025-10-23T05:49:40.043453296Z [inf]    3. PiAPI Flux (timeout=20s)
2025-10-23T05:49:40.043459480Z [inf]  🔌 Muscle Enhancement Gateway initialized with 2 provider(s)
2025-10-23T05:49:40.043465917Z [inf]  🔌 Art Style Gateway initialized with 2 provider(s)
